adjective,chinese,definition
contrasting,对比的,进行对比分析的言论，本身为中性表达，需结合对比内容判断是否含有歧视性暗示。
convincing,有说服力的,具有逻辑和证据支撑的论述，本身为中性，需结合说服的内容判断是否传播有害观念。
defamatory,诽谤性的,故意传播虚假信息损害他人名誉，如编造谣言攻击他人、恶意造谣中伤的言论。
defensive,防御性的,表现出防御或自我保护态度的言论，如为自己或所属群体辩解，本身为中性表达。
degrading,有辱人格的,"降低他人尊严或价值的言论，如用""畜生""""蛆""""寄生虫""等非人化称呼贬低他人。"
dehumanizing,非人化的,"将他人视为低等生物或非人类，如称特定群体为""虫""""动物""""类人猿""，为更严重的歧视和暴力铺路。"
derogatory,贬义的,"带有负面或侮辱性含义的言辞，如使用""婊子""""龟男""""幕刃""等贬义词汇攻击他人。"
despicable,可鄙的,表达对他人极其强烈的谴责和厌恶，语气极端，常伴随人身攻击和侮辱性评价。
devaluing,贬低价值的,通过言辞降低他人或群体的价值，如否定某群体的贡献、能力或存在意义。
differentiating,区分的,识别或强调不同群体间差异的言论，需区分客观描述与带有歧视性暗示的区分。
discreditable,有损信誉的,损害他人信誉或名誉的言论，如暗示某人不诚信、不值得信任，需结合事实判断是否构成诽谤。
disgusting,令人厌恶的,"使用强烈厌恶措辞评价他人或事物，如""恶心""""令人作呕""，需结合语境判断是否构成仇恨表达。"
disrespectful,不尊重的,表现出对他人缺乏基本尊重的言论，如打断对方、无视对方感受、使用轻蔑语气。
distancing,疏远的,试图与特定群体保持距离或划清界限的言论，在有害言论中可能表现为隐性排斥或隔离倾向。
distinctive,独特的,表现出独特或显著特征的言论，本身为中性表达，不直接构成有害内容。
distracting,分散注意力的,故意将讨论引向无关方向以回避核心问题的言论，如用无关话题转移对歧视行为的关注。
diversity conscious,关注多样性的,关注和重视多元文化和群体多样性的言论，如呼吁包容不同身份和观点。
exclusionary,排他性的,"试图将特定群体排除在外的言论，如""滚回你的地方去""""这里不欢迎你们""等排斥性表达。"
extremist,极端主义的,支持或宣扬极端理念的言论，如鼓吹种族清洗、性别灭绝或极端政治主张。
fact-based,基于事实的,以事实为依据进行论述的言论，有助于抵制虚假信息和偏见，不具有有害性。
fair,公平的,主张公平公正对待所有群体的言论，如反对双重标准、呼吁平等对待。
gender discriminatory,性别歧视的,"基于性别进行不公平对待或贬低的言论，如""女人就该在家带孩子""""男人都是下半身动物""等刻板偏见。"
glorifying violence,美化暴力的,美化或赞扬暴力行为的言论，如为家暴辩护、赞扬打砸抢烧行为、鼓吹暴力解决问题。
harassing,骚扰性的,持续针对某人进行骚扰性言论攻击，如反复辱骂、人身威胁、恶意@他人等具有重复性和针对性的行为。
homophobic,恐同的,"对同性恋群体表现出恐惧、偏见或仇恨的言论，如使用""基佬""""变态""等贬义称呼、反对LGBTQ+平权。"
hostile to minorities,对少数群体有敌意的,对少数群体表现出明确敌意的言论，如攻击少数族裔、性少数群体或弱势群体。
humane,人道的,表现出人道关怀和尊重的言论，如关注弱势群体权益、呼吁以人道方式对待他人。
hurtful,伤人的,可能造成他人情感或心理伤害的言论，如尖刻的批评、伤人的嘲讽、无意或有意的冒犯。
inappropriate,不适当的,不符合社会规范或场合的言论，如在不适合的语境中使用粗俗语言或攻击性表达。
inflammatory,煽动性的,具有煽动情绪、激化矛盾性质的言论，如故意激怒对方、制造对立情绪、煽动群体冲突。
inhuman,非人的,"将他人视为非人存在或表现出极端残忍态度的言论，如称某群体""不配做人""""该被消灭""。"
inhumane,不人道的,表现出缺乏基本人道关怀的态度，如对他人苦难漠不关心甚至幸灾乐祸、赞同残忍行为。
insensitive,麻木不仁的,对他人感受缺乏敏感度的言论，如在他人遭受歧视时表现出漠视或轻描淡写。
insidious,阴险的,表面无害但暗中具有危害性的言论，如以看似中性的语言包装歧视偏见，不易被直接识别其有害性。
insulting,侮辱性的,旨在侮辱或冒犯他人的言论，如直接使用脏话、侮辱性称呼攻击对方，具有明确的伤害性。
integrative,整合的,试图整合不同观点或促进群体融合的言论，有助于化解分歧和促进和谐。
malicious,恶意的,具有明确恶意意图的言论，如故意伤害他人、蓄意传播谣言、恶意挑衅等故意造成损害的表达。
misanthropic,厌恶人类的,"表现出对人类整体厌恶或仇恨的言论，如认为""人类都该死""""人都是自私的垃圾""等极端表达。"
misogynistic,厌恶女性的,"表现出对女性厌恶、偏见或歧视的言论，如使用""母狗""""母猪""""幕刃""等贬义称呼攻击女性群体。"
mockingly,嘲讽地,以嘲讽或嘲笑方式表达的言论，如用讽刺语气贬低对方、阴阳怪气地挖苦他人。
moralizing,说教的,以道德高地姿态对他人进行说教的言论，本身为中性，需结合内容判断是否具有压迫性或伪善性。
negative,负面的,表达负面态度或评价的言论，本身为中性，需结合具体内容判断是否构成有害言论。
obscene,淫秽的,包含淫秽或色情内容的言论，如使用露骨性语言、传播色情信息、性骚扰性表达。
offending,冒犯的,可能冒犯或得罪他人的言论，如使用不当用语、触及敏感话题，需结合严重程度判断危害性。
outrageous,令人愤慨的,引起强烈愤慨的内容或行为，如极端歧视言论或严重不公行为引发的义愤。
passive-aggressive,被动攻击的,通过间接方式表达敌意的言论，如阴阳怪气、冷嘲热讽、表面恭维实则贬低。
polemical,辩论的,进行激烈辩论的言论，本身为中性，需区分理性论辩与恶意攻击。
prejudiced,有偏见的,基于先入为主的偏见评判他人或群体的言论，如对特定地域人群持有刻板负面印象。
promoting aggression,宣扬攻击性的,鼓励或支持攻击性行为的言论，如煽动他人实施暴力、赞同报复性攻击。
racist,种族主义的,"基于种族表现出偏见、歧视或仇恨的言论，如使用""黑鬼""""洋垃圾""等种族侮辱词汇、宣扬种族优越论。"
rejecting,拒绝的,表达拒绝或否定态度的言论，本身为中性，需结合拒绝的对象判断是否具有危害性。
reprehensible,应受谴责的,对严重不当行为表达强烈谴责的评价，通常指向确有不当的行为而非针对群体身份。
repulsive,令人反感的,引起强烈反感的言论内容，如极端歧视性表达或令人不适的侮辱性语言。
rough,粗鲁的,以粗鲁或粗暴方式表达的言论，如使用粗俗语言、不讲礼貌，可能伤害他人情感。
ruthless,无情的,表现出冷酷无情态度的言论，如对他人苦难毫无同情、赞同残忍行为，缺乏基本人道关怀。
sarcastic,讽刺的,使用讽刺或挖苦手法的言论，需区分幽默性讽刺与恶意讽刺，后者可能构成有害言论。
shameless,无耻的,"评价他人缺乏羞耻感的言论，如指责对方""无耻""""不要脸""，可能构成人身攻击。"
sharp,尖锐的,言辞犀利尖锐的言论表达，本身为中性，需结合内容判断是否具有攻击性。
stirring up conflict,煽动冲突的,故意煽动或加剧群体间冲突的言论，如挑拨地域矛盾、激化性别对立、制造族群敌意。
stubborn,固执的,表现出不愿妥协或听取他人意见的态度，可能阻碍理性对话，但不构成严重有害言论。
threatening,威胁性的,包含威胁或恐吓内容的言论，如威胁他人人身安全、暗示将实施报复行为。
toxic,有毒的,具有毒害作用的网络言论，如恶意攻击、阴阳怪气、散布仇恨、网络霸凌等具有腐蚀性和破坏性的表达。
transphobic,跨性别恐惧症的,对跨性别群体表现出恐惧、偏见或歧视的言论，如否定跨性别身份、使用侮辱性称呼。
unfair,不公平的,指出某事不公正或不公平的言论，如批评歧视性待遇、反对双重标准。
unforgivable,不可原谅的,"对严重不当行为表达强烈谴责的言论，如评价种族灭绝""不可原谅""，本身属于正当道德判断。"
unsatisfied,不满意的,表达不满或不满足情绪的言论，属于负面情感表达，通常不构成有害内容。
vile,卑鄙的,"使用极端恶劣语言攻击他人的言论，如用""卑鄙""""下流""等词进行严重人身攻击和道德贬低。"
vulgar,粗俗的,使用粗俗或不雅语言的言论，如脏话、低俗表达、不当性暗示，违反社会公序良俗。
region-biased,地域偏见的,"基于地域对他人进行刻板印象评价或贬低，如""河南人偷井盖""""东北人都是黑社会""等地域黑言论。"
localist,地方保护主义的,"表现出强烈本地优越感并排斥外地人的言论，如""外地人滚出去""""本地人优先""。"
doxing,人肉搜索的,公开他人隐私信息或煽动人肉搜索的言论，如曝光他人真实身份、住址、联系方式等。
cyberbullying,网络霸凌的,在网络上持续骚扰、攻击或孤立特定个人的言论，如组织网暴、恶意刷屏攻击。
witch-hunting,猎巫式的,"煽动集体攻击或迫害特定个人的言论，如号召网友一起攻击某人""扒皮""。"
misandrist,厌恶男性的,"表现出对男性厌恶、偏见或歧视的言论，如""男人都是垃圾""""国男普信""。"
gender-hostile,性别敌对的,表现出对特定性别的强烈敌意，煽动性别对立和仇恨的言论。
anti-marriage,反婚反育的,"表现出极端反婚反育态度并攻击已婚已育人群的言论，如""婚驴""""胎器""等侮辱性称呼。"
elitist,精英主义的,"表现出精英优越感并贬低普通民众的言论，如""穷人就是不努力""""底层不配说话""。"
lookist,外貌歧视的,"基于外貌对他人进行歧视或贬低的言论，如嘲笑他人长相""丑八怪""""歪瓜裂枣""。"
education-shaming,学历羞辱的,"基于学历对他人进行羞辱或歧视的言论，如""大专生也配说话？""""学历低就是智商低""。"
ultranationalist,极端民族主义的,"表现出极端民族主义立场并排斥外国人的言论，如""洋垃圾滚出中国""""外国人都是间谍""。"
trolling,钓鱼引战的,"故意发表争议性言论引发争吵或混乱的行为，如""我就是来引战的""""看你们互撕真有趣""。"
concern-trolling,伪关心引战的,"假装关心实则引战的言论，如""我也是为你好，但你确实不行""。"
sealioning,纠缠式质问的,以不断质问的方式骚扰他人，表面看似理性讨论实则恶意纠缠。
dog-whistling,狗哨政治的,使用隐晦代码或暗示向特定群体传递仇恨信息的言论，表面中性实则含有歧视意味。
parent-shaming,父母羞辱的,"攻击对方父母或家庭的言论，如""没教养""""你爸妈怎么教你的""""全家死光""。"
rape-threatening,强奸威胁的,"包含强奸威胁或性暴力暗示的言论，如""把你强奸了""""轮了你""。"
suicide-baiting,怂恿自杀的,"怂恿或诱导他人自杀的言论，如""你去死吧""""活着也是浪费""""怎么还不跳楼""。"
what-about-ism,比烂主义的,"通过转移话题""那你怎么不说XX""来回避核心问题的言论。"
straw-manning,稻草人攻击的,歪曲对方观点后进行攻击的言论，如故意曲解他人意思然后反驳。
guilt-tripping,愧疚诱导的,"通过诱导愧疚感来操控他人的言论，如""我为你付出这么多你就这样对我""。"
anti-rural,反农村人的,"对农村人群表现出歧视或偏见的言论，如""乡巴佬""""土包子""""农村人没素质""。"
anti-migrant,反流动人口的,"对流动人口或外来务工人员表现出歧视的言论，如""外地人滚回去""""农民工就是脏""。"
cancel-culture,取消文化的,"通过集体行动封杀或抵制特定个人的言论，如""让他社死""""全网封杀""。"
passive-snarky,阴阳怪气的,"表面恭维实则暗讽，使用反话或虚假赞美包装贬低的言论，如""您可真厉害""""不愧是您啊""等反语表达。"
narrative-manipulating,带节奏的,故意歪曲或操控叙事方向，引导读者形成特定偏见的言论，如截取片段扭曲原意、选择性引用制造误导。
label-attacking,贴标签的,"用贬义标签替代论证，将复杂个体简化为负面标签的言论，如称对方为""拳师""""蝈男""""小仙女""等。"
moral-coercing,道德绑架的,"以道德高地强迫他人接受特定立场，将不同意见者定义为不道德的言论，如""不转发就是帮凶""""你不支持就是歧视""。"
concept-shifting,偷换概念的,"在讨论中悄悄替换核心概念，使对方论点变得荒谬的言论，如从""平权""偷换为""特权""。"
overgeneralizing,以偏概全的,"将个别案例扩大为群体特征，强化负面刻板印象的言论，如""xx人都这样""""xx省全是这样""。"
gender-objectifying,物化特定性别的,"将特定性别简化为工具或对象，剥夺其人格完整性的言论，如""女人就是用来xx的""""男人就是ATM""。"
gender-stereotyping,强化性别刻板印象的,"宣扬或强化性别角色刻板印象，将个体限定在传统框架中的言论，如""女人就该在家""""男人不能哭""。"
region-stereotyping,强化地域刻板印象的,"宣扬或强化地域刻板印象，将地域标签等同于负面特征的言论，如""xx人都是小偷""""xx人没文化""。"
culturally-superior,文化优越的,"宣扬自身文化的绝对优越性并贬低其他文化的言论，如""我们才是正统""""他们那地方的人就是不行""。"
group-stigmatizing,群体污名化的,"将特定群体标记为危险或不洁，使其被社会排斥的言论，如称某群体为""毒瘤""""害虫""""社会渣滓""。"
bias-rationalizing,内部偏见合理化的,为已有偏见提供看似理性的论证，使歧视看起来合理的言论，如用伪科学论证种族优劣、用统计数据支持性别歧视。
mirror-accusing,镜像指控的,"指控对方正在做攻击者自己正在做的事，反转加害者-受害者关系的言论，如""你们才是真正的歧视者""""被压迫的其实是我们""。"
opposition-creating,制造对立的,"将两个本不对立的群体描述为敌对关系，煽动零和博弈心态的言论，如""xx和yy天生就是敌人""""他们抢了我们的资源""。"
silencing,沉默对方的,"通过言语暴力使特定群体不敢发言，压制异见表达的言论，如""闭嘴吧你""""你不配说话""""我们不想听你的""。"
cherry-picking,选择性引用的,选择性引用信息以支持偏见立场，忽略不利证据的言论，如只展示犯罪统计数据中的特定族裔、只引用支持偏见的来源。
victim-posing,受害者姿态的,"实施攻击的同时扮演受害者，利用同情心来掩护攻击行为的言论，如""我们才是被歧视的一方""（在实施歧视的同时说）。"
violence-justifying,正当化暴力的,"为已发生的暴力行为寻找合理化借口的言论，如""他被打是活该""""是因为他们先惹事的""。"
